lat,lon,our_class,margin,diesing_class,abslat
-74.0,-176.0,siliceous-ooze,-2.7107844,Lithogenous sediment,74.0
-74.0,-175.0,siliceous-ooze,-2.1245098,Lithogenous sediment,74.0
-74.0,-174.0,siliceous-ooze,-1.9441178,Lithogenous sediment,74.0
-74.0,-173.0,siliceous-ooze,-1.8088236,Lithogenous sediment,74.0
-74.0,-172.0,siliceous-ooze,-1.5382354,Lithogenous sediment,74.0
-74.0,-171.0,siliceous-ooze,-1.3127451,Lithogenous sediment,74.0
-74.0,-170.0,siliceous-ooze,-1.1774511,Lithogenous sediment,74.0
-74.0,-169.0,siliceous-ooze,-1.087255,Lithogenous sediment,74.0
-74.0,-168.0,siliceous-ooze,-1.0421569,Lithogenous sediment,74.0
-74.0,-167.0,siliceous-ooze,-0.99705887,Lithogenous sediment,74.0
-74.0,-166.0,siliceous-ooze,-0.9519608,Lithogenous sediment,74.0
-74.0,-165.0,siliceous-ooze,-0.8617649,Lithogenous sediment,74.0
-74.0,-164.0,siliceous-ooze,-0.8617649,Lithogenous sediment,74.0
-74.0,-163.0,siliceous-ooze,-0.90686274,Lithogenous sediment,74.0
-74.0,-162.0,siliceous-ooze,-0.9519608,Lithogenous sediment,74.0
-74.0,-161.0,siliceous-ooze,-0.90686274,Lithogenous sediment,74.0
-74.0,-160.0,siliceous-ooze,-0.8617649,Lithogenous sediment,74.0
-74.0,-159.0,siliceous-ooze,-0.81666684,Lithogenous sediment,74.0
-74.0,-158.0,siliceous-ooze,-0.7715688,Lithogenous sediment,74.0
-74.0,-157.0,siliceous-ooze,-0.7264707,Lithogenous sediment,74.0
-74.0,-156.0,siliceous-ooze,-0.7264707,Lithogenous sediment,74.0
-74.0,-155.0,siliceous-ooze,-0.7264707,Lithogenous sediment,74.0
-74.0,-154.0,siliceous-ooze,-0.7264707,Lithogenous sediment,74.0
-74.0,-153.0,siliceous-ooze,-0.68137264,Lithogenous sediment,74.0
-74.0,-152.0,siliceous-ooze,-0.6362748,Lithogenous sediment,74.0
-74.0,-151.0,siliceous-ooze,-0.6362748,Lithogenous sediment,74.0
-74.0,-150.0,siliceous-ooze,-0.6362748,Lithogenous sediment,74.0
-74.0,-149.0,siliceous-ooze,-0.6362748,Lithogenous sediment,74.0
-74.0,-148.0,siliceous-ooze,-0.68137264,Lithogenous sediment,74.0
-74.0,-147.0,siliceous-ooze,-0.7264707,Lithogenous sediment,74.0
-74.0,-146.0,siliceous-ooze,-0.81666684,Lithogenous sediment,74.0
-74.0,-145.0,siliceous-ooze,-0.9519608,Lithogenous sediment,74.0
-74.0,-144.0,siliceous-ooze,-1.2225492,Lithogenous sediment,74.0
-74.0,-143.0,siliceous-ooze,-1.4029412,Lithogenous sediment,74.0
-73.0,-176.0,carbonate-ooze,-3.0264707,Lithogenous sediment,73.0
-73.0,-175.0,siliceous-ooze,-2.259804,Lithogenous sediment,73.0
-73.0,-174.0,siliceous-ooze,-1.5833335,Lithogenous sediment,73.0
